                        Master List for Night Flight BBS

                                  17-Nov-1992

File Area : All Other IBM Files

CROSSWRD.ZIP   24k 25-Dec-89 Crossword Editor
THE-TALI        8k 13-Apr-92 >3< the talisman bbs demo!! coded by Max Mix
TRIAD.DEM       3k 15-Feb-92 >1< Graphic and sound demo
TUBBELLS       29k 11-Mar-92 Music and graphic demo, pretty good.
TURBTAPE.PRG    2k 27-Jul-89 Load tape games faster
TYPRACT.ARC     4k 12-Dec-88 Not tested
UCBBS.LNX      56k 08-Jul-92 >2< UCBBS V1.1. An old but cool 64 BBS
VANDALIS       18k 05-May-92 >2< Just a lil intro for Vandilism News #5
VIDEOS.ARC     20k 18-Jul-87 Not tested
VIO4.LNX      158k 01-Jun-92 >3< VIOLATION #4/The Cure (ex-TDU). Best mag
WEAREDEA        9k 01-Apr-92 >3< We are Dead/bz....sad day!
WEIRD12.DEM     2k 15-Feb-92 Graphic and sound demo
WETPAINT.ARC    4k 08-Aug-87 Not tested
WINDCHIL.PRG    1k 11-Oct-88 Computes the wind chill factor
WINNERFA        8k 06-Jun-92 >2< winner/fairlight a single demo
WORDWORK.ARC    6k 08-Aug-87 Not tested
YOURC64        14k 10-Mar-92 Graphic and sound demo.

Files : 82   Kilobytes : 2678K In All C64 Other Files


File Area : C64 Utilities

15.SEC          3k 19-Jul-92 >06< This file will allow you to copy a disk
41-81CPY        6k 15-Jul-92 >2< Copy between 1541 and 1581
41-ALIGN        2k 12-Jul-92 >2< Align 1541 disk drive
6480COL.UTI     3k 15-Feb-92 80 Column program for the c64.
64FKEYS.UTI     7k 15-Feb-92 New file. Not yet commented.
64TESTER.UTI    7k 15-Feb-92 >1< [00] Tests the 64 Roms
ADDRFIND.UTI    0k 15-Feb-92 >01< New file. Not yet commented.
ARKIVER        21k 30-Apr-92 New file. Not yet commented.
ARKV2-0        21k 14-Nov-92 Arkive Version 2.0 Make and Desolve
BYTERAP.ER      6k 07-May-92 >1< file compressor
CCGMS-V1       29k 21-Apr-92 >2< new Communication prg.
CCGMSV14       29k 12-Apr-92 >3< Last version of"CCGMS-v14"- very good
CHARSETM       18k 22-Feb-92 Charset make/bz is a cool 4x4(i think)
CHECKDIS.UTI    0k 15-Feb-92 >01< [00] Not tested
CODESMON       22k 03-Mar-92 >4< Not tested
CRUEL.V2P      11k 07-May-92 >1< program compression program
D-SEARCH.UTI    3k 15-Feb-92 [00] Not tested
D-TURNER.UTI    0k 15-Feb-92 >01< [00] Runs the drive motor for disk cleaners
DATEL.FAS       4k 19-Jul-92 >1< Very Fast Disk Copier Approx 15sec
DCMR.ARK       72k 20-Mar-92 >1< 64 cataloger, best there is.
DD&FC.LNX     102k 01-Apr-92 >1< Make it you on music
DIR-PLUS.UTI    5k 15-Feb-92 [00] Organizes the 64 directory
DISKHEAD.UTI    1k 15-Feb-92 [00] Not tested
DISKNAME.UTI    1k 15-Feb-92 [00] Not tested
DIVTUTOR.UTI    4k 15-Feb-92 [00] Not tested
DOCSMAKE.UTI    1k 15-Feb-92 >2< [00] Make docs for a program
DR-ALIGN.UTI    1k 15-Feb-92 [00] Drive alignment test
DRIVEHEA        1k 28-Jul-92 >1< Another drie align program..
FEWCCGMS.ARK  119k 01-Apr-92 >3< Commprest few CCGMS.prg-including V.1;
FKEY.BAS       13k 12-Mar-92 >1< Good util.stuff
FLICONVE        1k 22-Feb-92 fliconverter/brz allows u to convert
H-TERM         20k 12-Apr-92 >2< New communication prg. D/L and try
HIRESMIX        7k 24-Feb-92 >1< Not tested
ILL-MAST.UTI    3k 15-Feb-92 [00] Not tested
LAZURUS.UTI     0k 15-Feb-92 >1< Not tested
LINKER.PIC      1k 07-May-92 >1< links pictures to your programs
LOADADDR.UTI    1k 15-Feb-92 [00] Finds the load address on the disk
LOGOVIEW       15k 22-Feb-92 >1< logoviewer v1.0 allows u to view ya
LOTALUCK.UTI    0k 15-Feb-92 >1< [00] Picks random Lotto numbers
LYNX-11        29k 05-May-92 >2< Next -Lynx v11
LYNXV15        33k 05-May-92 >2< Another LYNX-15
MAGICDIR        4k 11-Mar-92 Change the directory around to suit.
MEMTRANS.UTI    1k 15-Feb-92 [00] Not tested
NOVA93.ARK    156k 06-Nov-92 Novaterm 9.3 C64 Ansi Coms Program (Very Good)
OMEGA-Q        26k 29-Jun-92 >3< undo files. ARK, LBR etc
OMEGAQ2        31k 10-Sep-92 >3< Omega q 2 for undoing Lib, Ark's etc
PARALLEL.CPY    5k 19-Jul-92 >3< Burst Nibble for a Parallel interface..
RAMDRV.BIN      2k 02-Nov-92 Make RAMdrive under BASIC ROM! Comments PLEASE
RELCOPY.UTI     6k 15-Feb-92 [00] Relative file copier
SEQFILE.RDR     7k 30-Apr-92 >2< Sequential file reader and Printer
SYSFIND.UTI     0k 15-Feb-92 >1< Finds the sys starting address from disk
T&SEDIT.UTI     2k 15-Feb-92 Edits tracks and sectors of a 1541 disk
TEXTEDIT        7k 22-Feb-92 >2< texteditor  /tnc is a text editor with
ULT-LYNX       25k 05-May-92 >2< Utilitie-lynx
UNSCRATC.UTI    1k 15-Feb-92 >1< Unscratch an erased file from disk
UUXFER          2k 02-Nov-92 UUdecoding for C64, program file.  See .DOC!
XTCPACK         4k 23-May-92 >2< XTC-PACKER V2.3! Packer from Rockstar
ZIPPERV5        7k 09-May-92 >5< [00] Description Missing

Files : 58   Kilobytes : 934K In C64 Utilities


File Area : All CPM Files

COPY.COM        4k 29-Jun-92 >2< Top copy program for CP/M
L4.COM          3k 29-Jun-92 New file. Not yet commented.
SIMCPM.ARC    152k 17-Jun-92 >2< CP/M Simulator for the Amiga.
this looks like a must have
UNZIP.COM       2k 29-Jun-92 New file. Not yet commented.
UNZIP.DOC       0k 29-Jun-92 >4< unzip for CP/M - documentation

Files : 5   Kilobytes : 163K In All CPM Files



